Serial,stream,service_day,truck,inventory_gal_before_service,inventory_pct_before_service,pickup_gal,pickup_lb,interval_deadline,rolling_day
1503614,Compostables,0,T3,165.31,110.21,150.0,180.0,0.0,1
1503633,Waste,0,T4,24.27,16.18,19.92,19.92,6.0,1
1503637,Compostables,0,T3,91.91,61.27,52.2,62.64,0.0,1
1503641,Compostables,0,T3,45.84,30.56,0.0,0.0,0.0,1
1503642,Bottles/Cans,0,T2,52.54,35.03,5.0,1.5,0.0,1
1503651,Compostables,0,T3,84.85,56.57,9.85,11.82,0.0,1
1514001,Compostables,0,T3,115.08,76.72,51.4,61.68,0.0,1
1514003,Compostables,0,T3,205.81,137.21,150.0,180.0,0.0,1
1514004,Compostables,0,T3,76.49,50.99,1.49,1.79,0.0,1
1514021,Bottles/Cans,0,T2,83.48,55.65,8.48,2.54,0.0,1
1514026,Waste,0,T1,225.0,150.0,150.0,150.0,1.0,1
1514027,Waste,0,T1,104.77,69.85,59.54,59.54,1.0,1
1515666,Waste,0,T4,68.04,45.36,54.13,54.13,4.0,1
1515673,Waste,0,T4,85.01,56.67,85.01,85.01,5.0,1
1515674,Waste,0,T4,210.85,140.56,150.0,150.0,1.0,1
1515687,Compostables,0,T3,88.23,58.82,26.47,31.76,0.0,1
1515690,Compostables,0,T3,141.17,94.11,132.33,158.8,0.0,1
1515700,Waste,0,T1,47.73,31.82,40.9,40.9,5.0,1
1515712,Compostables,0,T3,22.86,15.24,0.0,0.0,0.0,1
1515716,Compostables,0,T3,102.08,68.05,39.58,47.5,0.0,1
1515722,Bottles/Cans,0,T2,106.39,70.93,47.59,14.28,0.0,1
1515723,Bottles/Cans,0,T2,54.85,36.57,0.0,0.0,0.0,1
1515725,Bottles/Cans,0,T2,60.78,40.52,5.0,1.5,0.0,1
1515726,Bottles/Cans,0,T2,67.21,44.81,0.0,0.0,0.0,1
1515732,Bottles/Cans,0,T2,29.63,19.76,0.0,0.0,5.0,1
1515738,Bottles/Cans,0,T2,25.2,16.8,5.0,1.5,0.0,1
1515739,Bottles/Cans,0,T2,139.93,93.29,129.87,38.96,1.0,1
1515742,Waste,0,T4,181.72,121.15,150.0,150.0,1.0,1
1515743,Waste,0,T4,193.0,128.67,150.0,150.0,1.0,1
1515748,Compostables,0,T3,33.51,22.34,0.0,0.0,0.0,1
1515750,Compostables,0,T3,162.01,108.0,127.73,153.27,0.0,1
1515757,Compostables,0,T3,44.82,29.88,0.0,0.0,0.0,1
1515761,Bottles/Cans,0,T2,92.22,61.48,17.22,5.17,0.0,1
1515765,Bottles/Cans,0,T2,129.44,86.29,57.1,17.13,0.0,1
1515766,Bottles/Cans,0,T2,33.23,22.15,5.0,1.5,0.0,1
1515769,Bottles/Cans,0,T2,20.27,13.51,1.07,0.32,6.0,1
1515773,Bottles/Cans,0,T2,138.33,92.22,126.66,38.0,1.0,1
